Page,Street,Block,Sector,Street Number,Tree No.,Species,Year Planted,Height (1961),Height (1967),Height (1971),Height (1972),Height (1977),Height (1981),Height (1982),Height (1983),Height (1984),Height (1985),Height (1986),Height (1987),Height (1988),Height (1989),Height (1990),Height (1991),Height (1992),Height (1993),Height (1997),Diameter (1961),Diameter (1967),Diameter (1971),Diameter (1972),Diameter (1977),Diameter (1981),Diameter (1982),Diameter (1983),Diameter (1984),Diameter (1985),Diameter (1986),Diameter (1987),Diameter (1988),Diameter (1989),Diameter (1990),Diameter (1991),Diameter (1992),Diameter (1993),Diameter (1997)
2,1st Avenue North,1860 - 2230,32,2230,3,Sorbus aucuparia,Removed,6,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
2,1st Avenue North,1860 - 2230,32,2230,4,Sorbus aucuparia,Removed,6,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
2,1st Avenue North,1860 - 2230,32,2230,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1st Avenue North,1860 - 2230,32,2230,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1st Avenue North,2109-2109,32 Ave,2109,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1st Avenue North,2109-2109,32 Ave,2109,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1st Avenue North,2109-2109,32 Ave,2109,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1st Avenue North,2109-2109,32 Ave,2109,4,Thuja occidentalis,Removed,,,,,,7,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,
3,1st Avenue North,2109-2109,32 Ave,2109,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1st Ave North,7104 - 7336,21,7104,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1st Ave North,7104 - 7336,21,7104,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1st Ave North,7104 - 7336,21,7104,3,Picea glauca,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1st Ave North,7104 - 7336,21,7104,4,Picea glauca,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1st Ave North,7104 - 7336,21,7108,1,Fraxinus pennsylvanica,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,3,,,,,,,,,,
4,1st Ave North,7104 - 7336,21,7108,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1st Ave North,7104 - 7336,21,7112,1,Fraxinus pennsylvanica,,,,,,,,,,7,,,8,,,,,,,,,,,,,,,,4,,,,,,,,,,
4,1st Ave North,7104 - 7336,21,7112,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1st Ave North,7104 - 7336,21,7212,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1st Ave North,7104 - 7336,21,7212,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1st Ave North,7104 - 7336,21,7220,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1st Ave North,7104 - 7336,21,7220,2,Fraxinus pennsylvanica,,,,,,,,,,7,,,8,,,,,,,,,,,,,,,,4,,,,,,,,,,
4,1st Ave North,7104 - 7336,21,7224,1,Fraxinus pennsylvanica,,,,,,,,,,6,,,8,,,,,,,,,,,,,,,,3,,,,,,,,,,
4,1st Ave North,7104 - 7336,21,7224,2,Fraxinus pennsylvanica,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1st Ave North,7104 - 7336,21,7304,1,Fraxinus pennsylvanica,,,,,,,,,,4,,,5,,,,,,,,,,,,,,,,3,,,,,,,,,,
4,1st Ave North,7104 - 7336,21,7304,2,Fraxinus pennsylvanica,may 7/91,,,,,,,,,,,,10,,,,,,,,,,,,,,,,4,,,,,,,,,,
4,1st Ave North,7104 - 7336,21,7312,1,Picea pungens,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1st Ave North,7104 - 7336,21,7312,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1st Ave North,7104 - 7336,21,7320,1,Fraxinus pennsylvanica,,,,,,,,,,6,,,6,,,,,,,,,,,,,,,,2,,,,,,,,,,
4,1st Ave North,7104 - 7336,21,7320,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1st Ave North,7104 - 7336,21,7328,1,error,,,,,,,,,,6,,,6,,,,,,,,,,,,,,,,2,,,,,,,,,,
4,1st Ave North,7104 - 7336,21,7328,2,Fraxinus pennsylvanica,,,,,,,,,,7,,,9,,,,,,,,,,,,,,,,4,,,,,,,,,,
4,1st Ave North,7104 - 7336,21,7336,1,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1st Ave North,7104 - 7336,21,7336,2,error,,,,,,,,,,7,,,9,,,,,,,,,,,,,,,,4,,,,,,,,,,
5,1ST AVE N.,7311-7411,NW-7 21,7311,1,Fraxinus pennsylvanica,Spring 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1ST AVE N.,7311-7411,NW-7 21,7319,1,Fraxinus pennsylvanica,fall 85,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,2,,,,,,,
5,1ST AVE N.,7311-7411,NW-7 21,7319,2,Fraxinus pennsylvanica,Spring 84,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,2,,,,,,,
5,1ST AVE N.,7311-7411,NW-7 21,7327,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1ST AVE N.,7311-7411,NW-7 21,7327,2,Fraxinus pennsylvanica,Spring 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1ST AVE N.,7311-7411,NW-7 21,7335,1,Fraxinus pennsylvanica,Spring 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1ST AVE N.,7311-7411,NW-7 21,7335,2,Fraxinus pennsylvanica,Spring 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1ST AVE N.,7311-7411,NW-7 21,7403,1,Fraxinus pennsylvanica,Spring 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1ST AVE N.,7311-7411,NW-7 21,7403,2,Fraxinus pennsylvanica,Spring 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1ST AVE N.,7311-7411,NW-7 21,7411,1,error,fall 85,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,2,,,,,,,
5,1ST AVE N.,7311-7411,NW-7 21,7411,2,Fraxinus pennsylvanica,Spring 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6623,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6623,2,Fraxinus pennsylvanica,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6627,1,,Driveway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6627,2,Betula pendula 'Youngii',,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6631,1,Fraxinus pennsylvanica,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6631,2,Fraxinus pennsylvanica,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6703,1,Picea glauca,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6703,2,Picea glauca,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6707,1,Fraxinus pennsylvanica,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6707,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6711,1,Fraxinus pennsylvanica,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6711,2,Fraxinus pennsylvanica,Fall 92,,,,,,11,,,,,,13,,,,,,,,,,,,,6,,,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6715,1,Fraxinus pennsylvanica,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6715,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6719,1,Fraxinus pennsylvanica,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6719,2,Fraxinus pennsylvanica,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6723,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6723,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6727,1,Fraxinus pennsylvanica,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6727,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6803,1,Fraxinus pennsylvanica,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6803,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6811,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6811,2,Fraxinus pennsylvanica,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6815,1,Fraxinus pennsylvanica,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6815,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6907,1,Fraxinus pennsylvanica,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6907,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6911,1,Fraxinus pennsylvanica,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6911,2,Sorbus aucuparia,white spruce,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6915,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6915,2,Sorbus aucuparia,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6919,1,Picea pungens,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6919,2,Betula pendula 'Youngii',,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6923,1,Picea pungens,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6923,2,Betula papyrifera,american elm,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6927,1,Picea pungens,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6927,2,Betula pendula 'Youngii',,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6931,1,Fraxinus pennsylvanica,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1ST AVENUE NORTH,6623-6931,NW 7,6931,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,6626,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,6626,2,Fraxinus pennsylvanica,,,,,,,9,,,,,,13,,,,,,,,,,,,,3,,,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,6710,1,Fraxinus pennsylvanica,,,,,,,7,,,,,,12,,,,,,,,,,,,,3,,,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,6710,2,Fraxinus pennsylvanica,,,,,,,6,,,,,,8,,,,,,,,,,,,,3,,,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,6714,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,6714,2,Fraxinus pennsylvanica,,,,,,,10,,,,,,15,,,,,,,,,,,,,4,,,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,6718,1,error,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,6718,2,Prunus virginiana,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,6806,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,6806,2,Betula papyrifera,,,,,,,4,,,,,,10,,,,,,,,,,,,,1,,,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,6810,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,6810,2,Betula papyrifera,,,,,,,9,,,,,,13,,,,,,,,,,,,,3,,,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,6814,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,6814,2,Fraxinus pennsylvanica,,,,,,,8,,,,,,11,,,,,,,,,,,,,3,,,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,6906,1,Fraxinus pennsylvanica,,,,,,,7,,,,,,9,,,,,,,,,,,,,3,,,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,6906,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,6910,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,6910,2,Fraxinus pennsylvanica,,,,,,,8,,,,,,10,,,,,,,,,,,,,3,,,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,6914,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,6914,2,Fraxinus pennsylvanica,,,,,,,10,,,,,,11,,,,,,,,,,,,,4,,,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,6918,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,6918,2,Fraxinus pennsylvanica,,,,,,,9,,,,,,10,,,,,,,,,,,,,3,,,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,6922,1,Fraxinus pennsylvanica,,,,,,,9,,,,,,11,,,,,,,,,,,,,3,,,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,6922,2,Fraxinus pennsylvanica,,,,,,,8,,,,,,10,,,,,,,,,,,,,3,,,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,6926,1,Sorbus aucuparia,,,,,,,11,,,,,,16,,,,,,,,,,,,,4,,,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,6926,2,error,,,,,,,5,,,,,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,6930,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,6930,2,Fraxinus pennsylvanica,,,,,,,8,,,,,,12,,,,,,,,,,,,,3,,,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,7002,1,Fraxinus pennsylvanica,,,,,,,9,,,,,,10,,,,,,,,,,,,,3,,,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,7002,2,Fraxinus pennsylvanica,,,,,,,8,,,,,,11,,,,,,,,,,,,,3,,,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,7006,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,7006,2,Fraxinus pennsylvanica,,,,,,,10,,,,,,11,,,,,,,,,,,,,4,,,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,7010,1,Fraxinus pennsylvanica,,,,,,,9,,,,,,10,,,,,,,,,,,,,4,,,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,7014,1,Fraxinus pennsylvanica,,,,,,,7,,,,,,11,,,,,,,,,,,,,3,,,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,7014,2,Fraxinus pennsylvanica,,,,,,,7,,,,,,10,,,,,,,,,,,,,3,,,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,7018,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,7018,2,Fraxinus pennsylvanica,,,,,,,11,,,,,,12,,,,,,,,,,,,,4,,,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,7022,1,Fraxinus pennsylvanica,,,,,,,8,,,,,,10,,,,,,,,,,,,,3,,,,,,,,,,,,,
7,1ST AVENUE NORTH,6626-7022,NW 7,7022,2,Fraxinus pennsylvanica,,,,,,,7,,,,,,9,,,,,,,,,,,,,3,,,,,,,,,,,,,
8,1ST AVENUE NORTH,7003-7227,NW-7 21,7003,1,Fraxinus pennsylvanica,,,,,,,11,,,,,,13,,,,,,,,,,,,,4,,,,,,,,,,,,,
8,1ST AVENUE NORTH,7003-7227,NW-7 21,7003,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1ST AVENUE NORTH,7003-7227,NW-7 21,7007,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1ST AVENUE NORTH,7003-7227,NW-7 21,7007,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1ST AVENUE NORTH,7003-7227,NW-7 21,7011,1,Betula papyrifera,,,,,,,6,,,,,,13,,,,,,,,,,,,,2,,,,,,,,,,,,,
8,1ST AVENUE NORTH,7003-7227,NW-7 21,7011,2,Betula papyrifera,,,,,,,6,,,,,,16,,,,,,,,,,,,,2,,,,,,,,,,,,,
8,1ST AVENUE NORTH,7003-7227,NW-7 21,7015,1,Fraxinus pennsylvanica,fall 85,,,,,,7,,,,,,7,,,,,,,,,,,,,2,,,,,,,,,,,,,
8,1ST AVENUE NORTH,7003-7227,NW-7 21,7015,2,Fraxinus pennsylvanica,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1ST AVENUE NORTH,7003-7227,NW-7 21,7019,1,Fraxinus pennsylvanica,,,,,,,8,,,,,,9,,,,,,,,,,,,,3,,,,,,,,,,,,,
8,1ST AVENUE NORTH,7003-7227,NW-7 21,7019,2,Fraxinus pennsylvanica,,,,,,,7,,,,,,9,,,,,,,,,,,,,3,,,,,,,,,,,,,
8,1ST AVENUE NORTH,7003-7227,NW-7 21,7023,1,Elaeagnus angustifolia,,,,,,,9,,,,,,13,,,,,,,,,,,,,3,,,,,,,,,,,,,
8,1ST AVENUE NORTH,7003-7227,NW-7 21,7023,2,Fraxinus pennsylvanica,May 7/91,,,,,,,,,,,,12,,,,,,,,,,,,,4,,,,,,,,,,,,,
8,1ST AVENUE NORTH,7003-7227,NW-7 21,7107,1,Picea pungens,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1ST AVENUE NORTH,7003-7227,NW-7 21,7107,2,Picea pungens,removed,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1ST AVENUE NORTH,7003-7227,NW-7 21,7111,1,Fraxinus pennsylvanica,Spring 84,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1ST AVENUE NORTH,7003-7227,NW-7 21,7111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1ST AVENUE NORTH,7003-7227,NW-7 21,7115,1,status error,Spring 84,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1ST AVENUE NORTH,7003-7227,NW-7 21,7115,2,status error,Spring 84,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1ST AVENUE NORTH,7003-7227,NW-7 21,7119,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1ST AVENUE NORTH,7003-7227,NW-7 21,7119,2,Picea glauca,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1ST AVENUE NORTH,7003-7227,NW-7 21,7123,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1ST AVENUE NORTH,7003-7227,NW-7 21,7123,2,Fraxinus pennsylvanica,Spring 84,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1ST AVENUE NORTH,7003-7227,NW-7 21,7203,1,status error,Spring 84,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
